Achromobacter xylosoxidans
Acidovorax ebreus
Acidovorax sp.
Acinetobacter baumannii
Acinetobacter guillouiae
Actinomyces vector
Aeromonas hydrophila
Agrobacterium radiobacter
Alicycliphilus denitrificans
Aspergillus niger
Babesia bigemina
Bacillus anthracis
Bacillus bombysepticus
Bacillus cereus
Bacillus sp.
Bacillus thuringiensis
Binary vector
Bison bison
Bison bonasus
Bordetella avium
Bordetella bronchiseptica
Bordetella hinzii
Bordetella holmesii
Bordetella pertussis
Bordetella petrii
Bos taurus
Brucella suis
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia dolosa
Burkholderia fungorum
Burkholderia glumae
Burkholderia lata
Burkholderia mallei
Burkholderia oklahomensis
Burkholderia pseudomallei
Burkholderia sp.
Burkholderia ubonensis
Callithrix jacchus
Camellia sinensis
Candidatus Kinetoplastibacterium
Canis lupus
Castellaniella defragrans
Caulobacter sp.
Citrus aurantiifolia
Citrus sinensis
Citrus unshiu
Cloning vector
Corynebacterium casei
Corynebacterium doosanense
Corynebacterium efficiens
Corynebacterium falsenii
Corynebacterium glutamicum
Corynebacterium jeikeium
Corynebacterium singulare
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Corynebacterium variabile
Cronobacter sakazakii
Culex quinquefasciatus
Cupriavidus basilensis
Cupriavidus metallidurans
Cyprinus carpio
Dechloromonas aromatica
Delftia acidovorans
Delftia sp.
Dendroctonus ponderosae
Elaeophora elaphi
Elizabethkingia anophelis
Enterobacter asburiae
Enterobacter cloacae
Enterobius vermicularis
Escherichia coli
Exiguobacterium sp.
Flavobacterium johnsoniae
Fusobacterium nucleatum
Gallus gallus
Haemonchus placei
Halomonas sp.
Homo sapiens
Human adenovirus
Klebsiella michiganensis
Lactobacillus mucosae
Leptotrichia buccalis
Macaca mulatta
Macaca nemestrina
Malassezia globosa
Methylobacterium oryzae
Microbacterium testaceum
Micrococcus luteus
Muntiacus muntjak
Mycobacterium JC2972
Mycobacterium abscessus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium canettii
Mycobacterium chelonae
Mycobacterium indicus
Mycobacterium intracellulare
Mycobacterium sp.
Mycobacterium tuberculosis
Mycobacterium yongonense
Neisseria elongata
Neisseria meningitidis
Nocardia cyriacigeorgica
Novosphingobium pentaromativorans
Novosphingobium sp.
Oryza rufipogon
Oryza sativa
Ovis aries
Pan troglodytes
Pandoraea pnomenusa
Pantholops hodgsonii
Pantoea vagans
Papio anubis
Pectobacterium carotovorum
Pongo abelii
Prevotella intermedia
Propionibacterium acnes
Protopolystoma xenopodis
Pseudoalteromonas sp.
Pseudomonas aeruginosa
Pseudomonas alkylphenolia
Pseudomonas fluorescens
Pseudomonas knackmussii
Pseudomonas mendocina
Pseudomonas plecoglossicida
Pseudomonas pseudoalcaligenes
Pseudomonas sp.
Pseudomonas stutzeri
Ralstonia mannitolilytica
Ralstonia pickettii
Ralstonia solanacearum
Ralstonia sp.
Ralstonia syzygii
Rhizobium tropici
Ricinus communis
Rubrivivax gelatinosus
Rubrobacter radiotolerans
Saccharomyces cerevisiae
Shewanella oneidensis
Shewanella sp.
Sinorhizobium fredii
Sphingobium sp.
Sphingomonas sp.
Sphingomonas taxi
Sphingomonas wittichii
Spirometra erinaceieuropaei
Staphylococcus epidermidis
Staphylococcus saprophyticus
Staphylococcus sp.
Staphylococcus warneri
Stenotrophomonas maltophilia
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus sp.
Sus scrofa
Thermus scotoductus
Thermus thermophilus
Tistrella mobilis
Triticum aestivum
Triticum monococcum
Variovorax paradoxus
Veillonella parvula
Vibrio furnissii
Xanthobacter autotrophicus
Zea mays
Zunongwangia profunda
allotetraploid Carassius
blood disease
uncultured Agrococcus
uncultured Chlamydophila
uncultured Thermomonospora
uncultured bacterium
